"","满意度","地区"
"151","不满意","东部"
"152","不满意","东部"
"153","不满意","东部"
"154","不满意","东部"
"155","不满意","东部"
"156","不满意","东部"
"157","不满意","东部"
"158","不满意","东部"
"159","不满意","东部"
"160","不满意","东部"
"161","满意","中部"
"162","满意","中部"
"163","满意","中部"
"164","满意","中部"
"165","满意","中部"
"166","满意","中部"
"167","满意","中部"
"168","满意","中部"
"169","满意","中部"
"170","满意","中部"
"171","满意","中部"
"172","满意","中部"
"173","满意","中部"
"174","满意","中部"
"175","满意","中部"
"176","满意","中部"
"177","满意","中部"
"178","满意","中部"
"179","满意","中部"
"180","满意","中部"
"181","满意","中部"
"182","满意","中部"
"183","满意","中部"
"184","满意","中部"
"185","满意","中部"
"186","满意","中部"
"187","满意","中部"
"188","满意","中部"
"189","满意","中部"
"190","满意","中部"
"191","满意","中部"
"192","满意","中部"
"193","满意","中部"
"194","满意","中部"
"195","满意","中部"
"196","满意","中部"
"197","满意","中部"
"198","满意","中部"
"199","满意","中部"
"200","满意","中部"
"201","满意","中部"
"202","满意","中部"
"203","满意","中部"
"204","满意","中部"
"205","满意","中部"
"206","满意","中部"
"207","满意","中部"
"208","满意","中部"
"209","满意","中部"
"210","满意","中部"
"211","满意","中部"
"212","满意","中部"
"213","满意","中部"
"214","满意","中部"
"215","满意","中部"
"216","满意","中部"
"217","满意","中部"
"218","满意","中部"
"219","满意","中部"
"220","满意","中部"
"221","满意","中部"
"222","满意","中部"
"223","满意","中部"
"224","满意","中部"
"225","满意","中部"
"226","满意","中部"
"227","满意","中部"
"228","满意","中部"
"229","满意","中部"
"230","满意","中部"
"231","满意","中部"
"232","满意","中部"
"233","满意","中部"
"234","满意","中部"
"235","满意","中部"
"236","满意","中部"
"237","满意","中部"
"238","满意","中部"
"239","满意","中部"
"240","满意","中部"
"241","满意","中部"
"242","满意","中部"
"243","满意","中部"
"244","满意","中部"
"245","满意","中部"
"246","满意","中部"
"247","满意","中部"
"248","满意","中部"
"249","满意","中部"
"250","满意","中部"
"251","满意","中部"
"252","满意","中部"
"253","满意","中部"
"254","满意","中部"
"255","满意","中部"
"256","满意","中部"
"257","满意","中部"
"258","满意","中部"
"259","满意","中部"
"260","满意","中部"
"261","满意","中部"
"262","满意","中部"
"263","满意","中部"
"264","满意","中部"
"265","满意","中部"
"266","满意","中部"
"267","满意","中部"
"268","满意","中部"
"269","满意","中部"
"270","满意","中部"
"271","满意","中部"
"272","满意","中部"
"273","满意","中部"
"274","满意","中部"
"275","满意","中部"
"276","满意","中部"
"277","满意","中部"
"278","满意","中部"
"279","满意","中部"
"280","满意","中部"
"281","满意","中部"
"282","满意","中部"
"283","满意","中部"
"284","满意","中部"
"285","满意","中部"
"286","满意","中部"
"287","满意","中部"
"288","满意","中部"
"289","满意","中部"
"290","满意","中部"
"291","满意","中部"
"292","满意","中部"
"293","满意","中部"
"294","满意","中部"
"295","满意","中部"
"296","满意","中部"
"297","满意","中部"
"298","满意","中部"
"299","满意","中部"
"300","满意","中部"
"301","满意","中部"
"302","满意","中部"
"303","满意","中部"
"304","满意","中部"
"305","满意","中部"
"306","满意","中部"
"307","满意","中部"
"308","满意","中部"
"309","满意","中部"
"310","满意","中部"
"311","满意","中部"
"312","满意","中部"
"313","满意","中部"
"314","满意","中部"
"315","满意","中部"
"316","满意","中部"
"317","满意","中部"
"318","满意","中部"
"319","不满意","中部"
"320","不满意","中部"
"321","不满意","中部"
"322","不满意","中部"
"323","不满意","中部"
"324","不满意","中部"
"325","不满意","中部"
"326","不满意","中部"
"327","不满意","中部"
"328","不满意","中部"
"329","不满意","中部"
"330","不满意","中部"
"331","不满意","中部"
"332","不满意","中部"
"333","不满意","中部"
"334","不满意","中部"
"335","不满意","中部"
"336","不满意","中部"
"337","不满意","中部"
"338","不满意","中部"
"339","不满意","中部"
"340","不满意","中部"
"341","不满意","中部"
"342","不满意","中部"
"343","不满意","中部"
"344","不满意","中部"
"345","不满意","中部"
"346","不满意","中部"
"347","不满意","中部"
"348","不满意","中部"
"349","不满意","中部"
"350","不满意","中部"
"351","不满意","中部"
"352","不满意","中部"
"353","不满意","中部"
"354","不满意","中部"
"355","不满意","中部"
"356","不满意","中部"
"357","不满意","中部"
"358","不满意","中部"
"359","不满意","中部"
"360","不满意","中部"
"361","不满意","中部"
"362","不满意","中部"
"363","不满意","中部"
"364","不满意","中部"
"365","不满意","中部"
"366","不满意","中部"
"367","不满意","中部"
"368","不满意","中部"
"369","不满意","中部"
"370","不满意","中部"
"371","不满意","中部"
"372","不满意","中部"
"373","不满意","中部"
"374","不满意","中部"
"375","不满意","中部"
"376","不满意","中部"
"377","不满意","中部"
"378","不满意","中部"
"379","不满意","中部"
"380","不满意","中部"
"381","不满意","中部"
"382","不满意","中部"
"383","不满意","中部"
"384","不满意","中部"
"385","不满意","中部"
"386","不满意","中部"
"387","不满意","中部"
"388","不满意","中部"
"389","不满意","中部"
"390","不满意","中部"
"391","不满意","中部"
"392","不满意","中部"
"393","不满意","中部"
"394","不满意","中部"
"395","不满意","中部"
"396","不满意","中部"
"397","不满意","中部"
"398","不满意","中部"
"399","不满意","中部"
"400","不满意","中部"
"401","满意","西部"
"402","满意","西部"
"403","满意","西部"
"404","满意","西部"
"405","满意","西部"
"406","满意","西部"
"407","满意","西部"
"408","满意","西部"
"409","满意","西部"
"410","满意","西部"
"411","满意","西部"
"412","满意","西部"
"413","满意","西部"
"414","满意","西部"
"415","满意","西部"
"416","满意","西部"
"417","满意","西部"
"418","满意","西部"
"419","满意","西部"
"420","满意","西部"
"421","满意","西部"
"422","满意","西部"
"423","满意","西部"
"424","满意","西部"
"425","满意","西部"
"426","满意","西部"
"427","满意","西部"
"428","满意","西部"
"429","满意","西部"
"430","满意","西部"
"431","满意","西部"
"432","满意","西部"
"433","满意","西部"
"434","满意","西部"
"435","满意","西部"
"436","不满意","西部"
"437","不满意","西部"
"438","不满意","西部"
"439","不满意","西部"
"440","不满意","西部"
"441","不满意","西部"
"442","不满意","西部"
"443","不满意","西部"
"444","不满意","西部"
"445","不满意","西部"
"446","不满意","西部"
"447","不满意","西部"
"448","不满意","西部"
"449","不满意","西部"
"450","不满意","西部"
"451","不满意","西部"
"452","不满意","西部"
"453","不满意","西部"
"454","不满意","西部"
"455","不满意","西部"
"456","不满意","西部"
"457","不满意","西部"
"458","不满意","西部"
"459","不满意","西部"
"460","不满意","西部"
"461","不满意","西部"
"462","不满意","西部"
"463","不满意","西部"
"464","不满意","西部"
"465","不满意","西部"
"466","不满意","西部"
"467","不满意","西部"
"468","不满意","西部"
"469","不满意","西部"
"470","不满意","西部"
"471","不满意","西部"
"472","不满意","西部"
"473","不满意","西部"
"474","不满意","西部"
"475","不满意","西部"
"476","不满意","西部"
"477","不满意","西部"
"478","不满意","西部"
"479","不满意","西部"
"480","不满意","西部"
"481","不满意","西部"
"482","不满意","西部"
"483","不满意","西部"
"484","不满意","西部"
"485","不满意","西部"
"486","不满意","西部"
"487","不满意","西部"
"488","不满意","西部"
"489","不满意","西部"
"490","不满意","西部"
"491","不满意","西部"
"492","不满意","西部"
"493","不满意","西部"
"494","不满意","西部"
"495","不满意","西部"
"496","不满意","西部"
"497","不满意","西部"
"498","不满意","西部"
"499","不满意","西部"
"500","不满意","西部"
